method,n_runs,mean,median,std,min,max,IQR,CV
LLM-OPRO,15,-0.22149546824886351,-0.2279007366473376,0.0366355148500871,-0.2762498059113766,-0.14137408085259645,0.05037983843371224,0.16540074223516343
SPSO-2011,15,-0.28920473779097416,-0.2892070248884288,4.286405381263761e-06,-0.289207858048566,-0.28919603099734215,4.1472799297004315e-06,1.4821352561526176e-05
L-SHADE,15,-0.28920788621371,-0.28920788621371,0.0,-0.28920788621371,-0.28920788621371,0.0,0.0
RandomSearch,15,-0.27559402838731706,-0.27622998084904243,0.003748119253842778,-0.28081443873594103,-0.270007123528962,0.0061149117797629216,0.013600146838360406
